food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
pineapples canned,28,0.05,0.079,6.8,0.06
prune plums canned,27,0.075,0.006,6.5,0.055
tangerines canned,92,0.1,0.087,22.1,0.022
fruit cocktail canned,109,0.053,0.03,25.7,0.059
sour cherries canned,189,0.3,0.007,0.0,0.073
mangosteen canned,143,1.1,0.0,0.0,0.024
apricot juice,117,0.07,0.008,26.2,0.024
strawberries canned,234,0.7,0.064,55.4,0.024
peach canned,110,0.094,0.03,25.7,0.006
fruit salad canned,125,0.008,0.08,0.0,0.069
gooseberries canned,184,0.5,0.004,0.0,0.097
grapefruit canned,88,0.2,0.09,21.4,0.091
pear canned,38,0.001,0.099,7.4,0.088
raspberries canned,233,0.3,0.081,51.4,0.013
papaya canned,80,0.2,0.1,20.4,0.075
grapes canned,98,0.3,0.034,23.8,0.022
apple dried,145,0.2,0.088,34.0,0.024
peach dried,199,0.6,0.055,43.8,0.059
plantain chips,150,8.4,2.4,0.3,0.039
golden raisins,498,0.8,0.2,97.7,0.001
raisins seeded,488,0.9,0.3,0.0,0.098
zante currants dried,408,0.4,0.009,96.9,0.067
pear dried,94,0.2,0.003,22.4,0.074
raisins,90,0.056,0.005,19.6,0.025
prune plums dried,308,0.5,0.01,0.0,0.011
cranberries dried,370,1.6,0.1,78.0,0.037
figs dried,21,0.008,0.014,4.0,0.091
longans dried,5,0.091,0.0,0.0,0.018
banana chips,147,9.5,8.2,10.0,0.099
lychee dried,7,0.003,0.076,1.7,0.049
apricot dried,17,0.015,0.02,3.7,0.066
longan,2,0.076,0.0,0.0,0.0
mamey sapote,217,0.8,0.3,35.2,0.008
waxgourd cooked,19,0.4,0.026,2.1,0.6
jackfruit,33,0.2,0.071,6.7,0.094
loquats,9,0.071,0.085,0.0,0.053
mammy apple mamey,431,4.2,1.2,0.0,0.1
nance,82,1.3,0.0,9.3,0.039
coconut whole coconut,3336,71.5,672.0,0.0,0.0
prickly pear,42,0.5,0.014,0.0,0.044
lychee,6,0.016,0.06,1.5,0.029
naranjilla lulo pulp,30,0.3,0.0,4.5,0.044
coconut meat dried,187,18.3,16.2,2.1,0.058
waxgourd raw,17,0.3,0.036,0.0,0.1
surinam cherry pitanga,2,0.059,0.0,0.0,0.1
passion fruit,17,0.1,0.098,2.0,0.072
sapodilla,141,1.9,0.3,0.0,0.08
pummelo,48,0.06,0.0,0.0,0.094
coconut meat,1405,133.0,117.9,24.7,0.022
soursop,149,0.7,0.1,30.5,0.024
papaya,62,0.4,0.1,11.3,0.004
acerola cherry,2,0.052,0.074,0.0,0.088
ohelo berries,39,0.3,0.0,0.0,0.068
loganberries,81,0.5,0.053,11.3,0.06
casaba melon,48,0.2,0.012,9.7,0.057
durian,51,1.9,0.0,0.0,0.079
coriander leaves raw,4,0.086,0.044,0.1,0.005
garden cress raw,3,0.062,0.052,0.4,0.079
pasilla peppers dried,24,1.1,0.0,0.0,0.063
parsley dried,1,0.096,0.064,0.073,0.058
ancho pepper dried,48,1.4,0.1,0.0,0.068
coriander seeds,5,0.3,0.049,0.0,0.095
dill weed dried,253,4.4,0.2,0.0,0.2
borage,19,0.6,0.2,0.0,0.023
epazote,0,0.06,0.0,0.0,0.021
chives dried,1,0.055,0.051,0.0,0.04
thyme fresh,1,0.068,0.07,0.0,0.017
butterbur,4,0.2,0.0,0.0,0.053
wasabi root,142,0.8,0.0,0.0,0.02
rosemary dried,4,0.2,0.083,0.0,0.048
ginger root,2,0.028,0.048,0.019,0.0
white pepper,7,0.0,0.002,0.0,0.075
cloves ground,6,0.3,0.017,0.028,0.0
paprika,19,0.9,0.1,0.7,0.061
mace ground,25,1.7,0.5,0.0,0.097
bay leaf,2,0.042,0.08,0.0,0.084
eppaw,150,1.8,0.0,0.0,0.015
tarragon dried,2,0.047,0.01,0.0,0.012
ginger ground,6,0.043,0.088,0.067,0.038
savory ground,4,0.029,0.085,0.0,0.055
black pepper,6,0.006,0.034,0.08,0.036
spearmint fresh,3,0.089,0.049,0.0,0.092
poultry seasoning,14,0.3,0.1,0.1,0.063
nutmeg ground,12,0.8,0.6,0.6,0.095
curry powder,20,0.9,0.1,0.2,0.004
peppermint,1,0.004,0.016,0.0,0.007
salt,0,0.0,0.0,0.0,7.0
coriander leaves dried,2,0.098,0.099,0.045,0.018
sage ground,2,0.046,0.07,0.052,0.083
garlic powder,10,0.029,0.003,0.068,0.082
dill weed fresh,4,0.063,0.064,0.0,0.017
cardamom,6,0.1,0.065,0.0,0.013
saffron,2,0.092,0.047,0.0,0.063
allspice ground,5,0.2,0.034,0.0,0.001
parsley fresh,1,0.078,0.016,0.001,0.056
oregano dried,265,4.3,1.6,4.1,0.009
marjoram dried,5,0.1,0.056,0.077,0.004
chives raw,1,0.088,0.083,0.02,0.099
fireweed leaves,24,0.6,0.0,0.0,0.035
rosemary fresh,1,0.1,0.016,0.0,0.039
garlic,4,0.026,0.033,0.043,0.018
cinnamon ground,6,0.044,0.074,0.066,0.022
chervil dried,5,0.002,0.066,0.0,0.076
cayenne pepper,1,0.094,0.043,0.089,0.059
turmeric ground,8,0.2,0.093,0.062,0.064
mustard,3,0.2,0.021,0.048,0.015
chili powder,8,0.4,0.061,0.2,0.014
thyme dried,276,7.4,2.7,1.7,0.016
spearmint dried,1,0.018,0.09,0.0,0.012
basil dried,2,0.027,0.02,0.054,0.089
dandelion greens cooked,35,0.6,0.0,1.7,0.3
basil fresh,2,0.089,0.069,0.064,0.058
dock,29,0.9,0.0,0.0,0.025
garden cress cooked,31,0.8,0.001,4.2,0.3
onion powder,8,0.024,0.068,0.2,0.048
dandelion greens raw,25,0.4,0.012,0.4,0.043
yokan,36,0.022,0.064,0.0,0.05
fava beans cooked,187,0.7,0.1,3.1,0.081
french beans raw,631,3.7,0.4,0.0,0.069
chickpeas canned,352,7.0,0.5,0.0,0.6
yellow beans cooked,255,1.9,0.5,0.0,0.086
mung beans cooked,212,0.8,0.2,4.0,0.083
white beans canned,299,0.8,0.2,0.8,0.079
pink beans cooked,252,0.8,0.2,0.6,0.075
pink beans raw,720,2.4,0.6,4.5,0.057
navy beans raw,701,3.1,0.4,8.1,0.059
snap beans cooked,44,0.4,0.005,1.9,0.086
black eyed cowpeas raw,131,0.5,0.1,4.4,0.048
edamame cooked,189,8.1,1.0,3.4,0.034
black eyed cowpeas cooked,160,0.6,0.2,5.3,0.036
hyacinth beans cooked,227,1.1,0.2,0.0,0.0
cowpeas canned,185,1.3,0.3,0.0,0.7
pinto beans cooked,245,1.1,0.2,0.6,0.085
winged beans cooked,253,10.0,1.4,0.0,0.4
pinto beans raw,670,2.4,0.5,4.1,0.036
black turtle beans raw,624,1.7,0.4,3.9,0.041
fava beans raw,512,2.3,0.4,8.6,0.1
lima beans canned,190,0.4,0.095,0.0,0.8
hyacinth beans raw,722,3.5,0.6,0.0,0.073
white beans raw,673,1.7,0.4,4.3,0.051
snap beans canned,66,0.4,0.1,0.0,0.09
navy beans canned,296,1.1,0.3,0.7,1.2
mung beans raw,718,2.4,0.7,13.7,0.085
adzuki beans raw,648,1.0,0.4,0.0,0.06
black turtle beans cooked,241,0.6,0.2,0.6,0.06
pink lentils raw,662,4.2,0.7,0.0,0.092
yellow beans raw,676,5.1,1.3,0.0,0.046
white beans cooked,249,0.6,0.2,0.6,0.045
lentils raw,678,2.0,0.3,3.9,0.039
cranberry beans cooked,241,0.8,0.2,0.0,0.4
chickpeas raw,728,12.1,1.3,21.4,0.005
lentils cooked,230,0.8,0.1,3.6,0.016
baked beans canned,239,0.9,0.2,20.2,0.9
cranberry beans canned,216,0.7,0.2,0.0,0.9
black beans cooked,227,0.9,0.2,0.0,0.008
lima beans cooked,216,0.7,0.2,5.5,0.012
mungo beans raw,706,3.4,0.2,0.0,0.004
pigeon peas raw,703,3.1,0.7,0.0,0.04
fava beans canned,182,0.6,0.092,0.0,1.2
yellow snap beans raw,31,0.1,0.097,0.0,0.085
snap beans raw,31,0.2,0.051,3.3,0.025
yellow snap beans canned,36,0.2,0.076,0.0,0.6
pigeon peas cooked,203,0.6,0.1,0.0,0.036
catjang cowpeas raw,573,3.5,0.9,0.0,0.07
navy beans cooked,255,1.1,0.2,0.7,0.4
mothbeans raw,672,3.2,0.7,0.0,0.001
cowpeas cooked,81,0.4,0.037,2.3,0.037
mothbeans cooked,207,1.0,0.2,0.0,0.086
french beans cooked,228,1.3,0.1,0.0,0.003
lima beans raw,602,1.2,0.3,15.1,0.078
winged beans raw,744,29.7,4.2,0.0,0.09
adzuki beans cooked,294,0.2,0.067,0.0,0.079
black beans raw,662,2.8,0.7,4.1,0.065
catjang cowpeas cooked,200,1.2,0.3,0.0,0.021
baby lima beans cooked,189,0.5,0.1,2.5,0.064
cowpeas raw,41,0.3,0.082,4.7,0.026
shellie beans canned,74,0.5,0.034,1.5,0.8
yardlong beans raw,579,2.2,0.6,0.0,0.057
pinto beans canned,197,1.3,0.3,2.4,0.6
chickpeas cooked,269,4.2,0.4,7.9,0.08
cranberry beans raw,653,2.4,0.6,0.0,0.014
mungo beans cooked,189,1.0,0.065,3.6,0.083
tamarinds,5,0.013,0.023,0.8,0.007
yellow snap beans cooked,44,0.4,0.037,4.5,0.096
yardlong beans cooked,202,0.8,0.2,0.0,0.059
bacon beef steak,146,12.5,4.5,0.2,0.4
lamb foreshank raw,912,60.7,26.4,0.0,0.3
bacon,106,10.2,0.0,0.2,0.1
lamb rib cooked,915,76.0,32.6,0.0,0.2
lamb shank raw,912,61.2,26.3,0.0,0.3
scrapple,60,3.9,1.3,0.063,0.1
chicken nuggets,61,4.1,0.7,0.039,0.1
ground lamb cooked,886,61.5,25.4,0.0,0.3
lamb meat cooked,678,45.0,18.6,0.0,0.2
meat extender,275,2.6,0.4,0.0,0.041
lamb leg raw,1043,77.4,33.7,0.0,0.3
lamb loin cooked,202,14.8,6.3,0.0,0.089
chicken patty,172,11.7,2.2,0.0,0.3
lamb shank roasted,605,33.5,13.7,0.0,0.2
barbecue loaf,40,2.0,0.7,0.0,0.3
lamb sirloin cooked,765,54.2,22.9,0.0,0.2
poultry salad,26,1.8,0.4,0.0,0.079
ground lamb raw,80,6.6,2.9,0.0,0.05
lamb loin raw,88,7.5,3.3,0.0,0.003
lamb sirloin raw,1234,100.3,44.1,0.0,0.3
sausage patty mcdonalds,115,11.2,3.6,0.1,0.2
lamb foreshank cooked,360,19.9,8.3,0.0,0.1
ham salad,97,7.0,2.3,0.0,0.5
lamb rib raw,1687,156.0,68.8,0.0,0.3
lamb shoulder raw,1198,97.3,42.1,0.0,0.3
lamb meat raw,1102,84.6,36.6,0.0,0.3
lamb shoulder cooked,750,53.5,22.5,0.0,0.2
mutton cooked,66,3.1,1.5,0.0,0.07
lamb leg cooked,684,43.7,18.3,0.0,0.2
beef stick,110,9.9,4.2,0.0,0.3
veal sirloin cooked,517,26.9,10.6,0.0,0.2
veal rib cooked,444,22.2,8.8,0.0,0.2
veal meat cooked,483,23.8,8.9,0.0,0.2
beef rib roasted,238,19.1,7.7,0.0,0.01
veal sirloin raw,689,35.4,15.2,0.0,0.3
beef top loin filet grilled,323,19.0,6.5,0.0,0.1
beef under blade steak cooked,983,46.7,17.9,0.0,0.3
mock tender steak raw,244,8.3,3.6,0.0,0.2
ground beef cooked,375,24.8,10.0,0.0,0.1
ground beef raw,1506,136.1,51.2,0.0,0.3
beef diced asda,48,0.7,0.3,0.054,0.0
veal rib raw,735,40.9,16.8,0.0,0.4
ground veal raw,41,1.9,0.8,0.0,0.029
t bone steak cooked,1049,74.1,30.3,0.0,0.2
veal leg round raw,531,14.0,5.4,0.0,0.3
beef top sirloin steak raw,1222,77.3,31.2,0.0,0.3
beef plate steak grilled,508,35.6,12.9,0.0,0.1
ground veal cooked,514,22.6,9.1,0.0,0.2
veal leg round cooked,574,17.2,6.9,0.0,0.2
porterhouse steak raw,1170,91.1,36.4,0.0,0.2
veal shank raw,513,15.8,4.8,0.0,0.4
veal breast cooked,753,47.5,18.5,0.0,0.2
corned beef canned,53,3.1,1.3,0.0,0.2
rib eye steak grilled,680,47.7,21.2,0.0,0.1
veal shoulder raw,0,0.0,0.0,0.0,0.0
t bone steak raw,1052,76.3,30.4,0.0,0.2
sirloin steak,324,14.1,5.2,0.0,0.6
mock tender steak cooked,137,4.9,1.5,0.0,0.028
beef round steak cooked,385,12.1,4.3,0.0,0.011
chuck blade roast raw,1125,88.0,35.5,0.0,0.3
beef shoulder steak raw,349,17.3,7.5,0.0,0.2
beef top blade cooked,184,10.0,3.3,0.0,0.002
corned beef cooked,53,4.0,1.3,0.0,0.2
beef round steak raw,753,36.0,14.2,0.0,0.3
beef shoulder steak grilled,155,5.8,2.5,0.0,0.014
chuck eye steak raw,856,62.8,26.7,0.0,0.3
beef bottom round steak cooked,980,35.1,12.1,0.0,0.2
porterhouse steak cooked,235,16.4,6.2,0.0,0.085
beef under blade steak raw,1235,80.8,32.6,0.0,0.3
beef plate steak raw,617,46.8,19.0,0.0,0.2
beef meat canned,111,7.9,3.9,0.0,0.095
beef breakfast strips raw,92,8.8,3.6,0.0,0.2
beef brisket cooked,589,43.6,16.8,0.0,0.1
corned beef raw,898,67.6,21.5,0.0,5.5
beef mince meat asda,55,3.1,1.3,0.054,0.0
pastrami beef fat free,9,0.1,0.0,0.0,0.005
rib eye steak raw,743,54.5,24.0,0.0,0.2
beef tenderloin steak cooked,374,24.0,9.4,0.0,0.061
chuck blade roast cooked,842,62.0,24.7,0.0,0.2
cured beef dried,4,0.019,0.086,0.006,0.049
beef flank steak cooked,380,17.5,7.2,0.0,0.068
chuck eye steak grilled,853,60.5,26.7,0.0,0.2
veal meat raw,653,30.7,12.7,0.0,0.4
veal loin cooked,80,4.9,1.9,0.0,0.001
veal loin raw,46,2.6,1.1,0.0,0.079
veal shoulder cooked,435,19.4,7.2,0.0,0.2
beef tenderloin steak raw,405,29.8,12.0,0.0,0.032
veal shank cooked,371,12.0,4.0,0.0,0.2
beef brisket raw,1139,86.5,34.2,0.0,0.3
pastrami beef,104,4.1,1.9,0.08,0.8
beef flank steak raw,47,2.3,1.0,0.0,0.054
beef top sirloin steak cooked,430,25.2,9.9,0.0,0.055
veal breast raw,943,66.9,26.7,0.0,0.3
beef rib raw,1433,123.8,51.2,0.0,0.2
beef jerky,82,5.1,2.2,1.8,0.4
beef breakfast strips cooked,51,3.9,1.6,0.0,0.3
pork olive loaf,66,4.6,1.6,0.0,0.3
beef luncheon meat jellied,31,0.9,0.4,0.0,0.4
turkey pastrami,38,1.8,0.5,1.0,0.3
pork salami,41,3.4,1.2,0.0,0.2
canadian style bacon raw,45,2.0,0.6,0.0,0.3
honey loaf,85,3.6,1.3,2.6,0.4
pork beef salami,37,3.1,1.1,0.008,0.2
beef pork bologna,92,7.4,2.8,1.3,0.3
pork beef salami cooked,41,3.2,1.1,0.1,0.2
pork breakfast strips raw,88,8.4,2.9,0.0,0.2
pickle pimiento loaf,86,6.1,2.0,3.2,0.4
luxury loaf,39,1.3,0.4,0.0,0.3
mortadella,47,3.8,1.4,0.0,0.2
pork bologna,69,5.6,1.9,0.0,0.3
turkey salami cooked,9,0.5,0.1,0.063,0.023
pepperoni beef,10,0.9,0.3,0.0,0.09
peppered loaf,42,1.8,0.6,1.3,0.2
luncheon meat beef,10,0.3,0.1,0.0,0.1
lebanon bologna,98,6.0,1.6,0.0,0.8
chicken pork bologna,94,8.6,2.8,0.0,0.3
turkey roll,40,1.9,0.6,0.0,0.1
beef salami cooked,68,5.8,2.6,0.4,0.3
yachtwurst cooked,150,12.7,4.4,0.0,0.5
italian salami,43,3.7,1.3,0.1,0.2
turkey ham,38,1.6,0.1,0.1,0.3
turkey bologna,59,4.5,1.2,0.8,0.3
sliced turkey breast,17,0.6,0.1,0.1,0.1
luncheon meat pork beef,99,9.0,3.2,0.0,0.4
beef bologna,90,7.8,3.1,0.6,0.3
turkey bacon cooked,313,22.9,6.8,0.0,1.9
ground emu cooked,178,5.1,1.4,0.0,0.025
ostrich leg raw,94,1.5,0.5,0.0,0.067
ostrich strip raw,108,2.4,0.8,0.0,0.086
emu fillet cooked,607,9.1,2.3,0.0,0.2
ostrich tenderloin raw,105,2.7,1.0,0.0,0.005
emu drums cooked,649,8.4,2.7,0.0,0.5
green turtle raw,25,0.1,0.015,0.0,0.099
ground bison cooked,448,21.6,8.7,0.0,0.2
goat meat raw,494,10.5,3.2,0.0,0.4
ground emu raw,157,4.7,1.2,0.0,0.062
ground ostrich raw,180,9.5,2.4,0.0,0.021
ostrich tip cooked,123,2.2,0.9,0.0,0.086
caribou cooked,210,6.4,2.5,0.0,0.004
ground ostrich cooked,163,6.6,1.7,0.0,0.099
ostrich leg cooked,120,1.6,0.6,0.0,0.016
ostrich top loin cooked,132,3.3,1.1,0.0,0.029
ostrich strip cooked,139,3.6,1.5,0.0,0.034
ostrich tip raw,97,2.0,0.7,0.0,0.041
ostrich round raw,99,2.0,0.7,0.0,0.074
ground bison raw,124,6.1,2.5,0.0,0.042
ostrich fan raw,99,2.3,0.8,0.0,0.04
ostrich top loin raw,101,2.5,1.0,0.0,0.073
veal brain cooked,461,32.6,7.4,0.0,0.5
veal tongue cooked,515,25.8,11.1,0.0,0.2
beef heart cooked,47,1.3,0.4,0.0,0.024
turkey liver cooked,100,4.3,1.2,0.0,0.083
veal thymus cooked,35,0.9,0.3,0.0,0.036
beef brain cooked,688,55.6,13.1,0.0,0.6
beef pancreas cooked,602,38.2,13.1,0.0,0.1
beef tripe cooked,80,3.4,1.2,0.0,0.045
chicken gizzard cooked,223,3.9,1.0,0.0,0.069
pork pancreas cooked,537,26.5,9.1,0.0,0.1
beef tongue cooked,80,6.3,2.3,0.0,0.029
lamb heart cooked,353,15.1,6.0,0.0,0.1
beef spleen cooked,447,12.9,4.3,0.0,0.2
veal kidneys cooked,300,10.4,3.2,0.0,0.2
chicken heart cooked,268,11.5,3.3,0.0,0.081
lamb tongue cooked,701,51.7,20.0,0.0,0.2
veal heart cooked,368,13.4,3.6,0.0,0.1
chicken liver cooked,76,2.8,0.9,0.0,0.079
lamb pancreas cooked,541,34.9,15.8,0.0,0.1
veal spleen cooked,445,10.0,3.3,0.0,0.2
lamb liver cooked,739,29.6,11.5,0.0,0.2
turkey gizzard cooked,70,2.1,0.5,0.0,0.031
lamp spleen cooked,460,14.1,4.7,0.0,0.2
turkey heart cooked,35,1.5,0.4,0.0,0.046
beef liver cooked,130,3.6,1.2,0.0,0.068
lamb lungs cooked,431,11.8,4.0,0.0,0.3
pork brain cooked,527,36.3,8.2,0.0,0.3
goose liver,125,4.0,1.5,0.0,0.1
pork kidneys cooked,211,6.6,2.1,0.0,0.1
lamb brain cooked,503,35.3,9.0,0.0,0.5
pork heart cooked,215,7.3,1.9,0.0,0.053
lamb kidneys cooked,349,9.2,3.1,0.0,0.4
beef lungs cooked,364,11.2,3.8,0.0,0.3
veal pancreas cooked,614,35.0,12.0,0.0,0.2
pork liver cooked,584,15.6,5.0,0.0,0.2
beef kidneys cooked,45,1.3,0.3,0.0,0.029
turkey giblets cooked,164,6.3,1.6,0.0,0.1
duck liver raw,60,2.0,0.6,0.0,0.089
veal liver cooked,154,5.0,1.6,0.0,0.046
pork lungs cooked,297,9.3,3.3,0.0,0.2
veal lungs cooked,312,7.9,2.7,0.0,0.2
beef thymus cooked,1215,95.2,32.8,0.0,0.4
ham,46,2.5,0.1,0.3,0.2
pork meat cooked,283,14.1,4.4,0.0,0.7
bacon roasted,43,3.3,1.1,0.0,0.034
pork top loin roasts raw,3644,182.8,35.1,0.0,1.0
pork blade roll raw,76,6.2,2.2,0.0,0.4
pork backribs raw,2399,174.9,61.9,0.0,0.9
pork spareribs cooked,703,53.6,19.7,0.0,0.2
pork stomach cooked,44,2.1,0.8,0.0,0.035
honey smoked ham cooked,67,1.3,0.6,0.0,0.5
boston butt steak raw,844,56.1,19.7,0.0,0.3
pork sirloin chops cooked,140,4.5,1.5,0.0,0.001
pork country style ribs raw,242,15.1,3.0,0.0,0.061
ham patties,205,18.3,6.6,0.0,0.7
pork feet cooked,67,4.5,1.2,0.0,0.046
ground pork cooked,930,65.0,24.2,0.0,0.2
pork centre loin chops cooked,328,17.4,5.5,0.0,0.065
pork leg cap steak cooked,307,8.6,2.6,0.0,0.1
pork blade chops raw,376,15.4,5.2,0.0,0.2
pork tenderloin raw,606,17.8,6.0,0.0,0.3
pork sirloin chops raw,1090,23.3,8.2,0.0,0.6
pork leg cap steak raw,284,7.8,2.7,0.0,0.2
pork carcass raw,1706,159.1,56.4,0.0,0.2
pork splean cooked,446,9.6,3.2,0.0,0.3
chopped ham,50,2.9,1.0,0.0,0.3
pork centre loin chops raw,338,18.0,6.0,0.0,0.1
pork blade chops cooked,265,14.6,4.3,0.0,0.072
boston butt steak cooked,494,32.7,12.2,0.0,0.1
pork meat raw,179,18.6,6.2,0.0,0.021
pork top loin chops raw,287,12.8,4.5,0.0,0.099
pork blade steak braised,694,44.7,16.6,0.0,0.4
pork boston steaks cooked,438,28.1,10.1,0.0,0.1
bacon cooked,43,3.1,1.1,0.0,0.2
pickled pork hocks,48,3.0,0.9,0.0,0.3
pork boston roast cooked,705,49.4,18.3,0.0,0.2
canadian style bacon grilled,43,2.0,0.7,0.0,0.4
ham steak,70,2.4,0.8,0.0,0.7
pork backfat,3683,402.3,146.1,0.0,0.064
bacon baked,44,3.5,1.1,0.0,0.2
pork arm picnic raw,5298,343.4,113.6,0.0,2.3
salt pork raw,212,22.8,8.3,0.0,0.8
pork arm picnic cooked,5292,322.7,109.3,0.0,2.2
pork top loin chops cooked,270,11.2,4.3,0.0,0.064
ground pork raw,329,26.5,9.8,0.0,0.033
pork shoulder raw,1070,81.6,28.3,0.0,0.3
pork chitterlings cooked,66,5.8,2.7,0.0,0.078
pork breakfast strips cooked,52,4.1,1.4,0.0,0.2
pork blade roll roasted,1079,88.3,31.5,0.0,3.7
pork tail cooked,1089,98.5,34.2,0.0,0.093
pork centre rib roasts raw,275,9.7,3.3,0.0,0.1
pork centre rib roasts roasted,1942,114.9,42.6,0.0,0.7
minced ham,55,4.3,1.5,0.0,0.3
ham roasted,316,21.3,7.1,0.0,1.3
pork loin raw,232,14.7,5.1,0.0,0.003
pork backribs roasted,2564,188.9,68.5,0.0,0.8
pork belly raw,2350,240.5,87.7,0.0,0.1
ham raw,266,18.2,6.0,0.0,1.5
ham extra lean,45,2.3,0.8,0.0,0.4
pork feet pickled,635,45.5,13.4,0.0,4.3
pork shoulder cooked,394,28.9,10.6,0.0,0.001
pork top loin roasts roasted,1628,74.8,24.1,0.0,0.4
pork skin,154,8.9,3.2,0.0,0.5
pork country style ribs cooked,235,15.2,5.4,0.0,0.049
pork blade steak raw,664,43.7,15.4,0.0,0.6
pork tenderloin cooked,153,6.2,2.2,0.0,0.091
pork loin cooked,213,12.1,4.5,0.0,0.077
pork ears cooked,184,12.0,4.3,0.0,0.2
pork tongue cooked,626,43.0,14.9,0.0,0.3
pork spareribs raw,3593,303.5,97.7,0.0,1.1
ham patties grilled,205,18.5,6.7,0.0,0.6
chicken skin roasted,508,45.6,12.8,0.0,0.028
turkey breast raw,3554,158.9,43.2,0.0,1.3
ground turkey raw,169,8.7,2.3,0.0,0.047
chicken wing cooked,52,3.5,1.0,0.0,0.086
turkey roast roasted,209,7.8,2.6,0.0,0.9
pheasant meat raw,1448,74.3,21.6,0.0,0.3
chicken back raw,188,17.0,4.9,0.0,0.043
chicken back cooked,93,6.5,1.8,0.0,0.091
chicken leg fried,431,25.5,6.8,0.0,0.4
chicken feet cooked,975,66.2,17.8,0.0,0.3
turkey steak fried,179,10.8,2.8,0.0,0.5
turkey taco meat cooked,271,13.9,3.2,0.0,1.2
chicken leg raw,736,54.9,15.0,0.0,0.3
chicken meat raw,1978,138.6,39.7,0.0,0.6
chicken neck cooked,94,6.9,1.9,0.0,0.085
chicken drumstick fried,193,11.3,3.0,0.0,0.2
quail egg,14,1.0,0.3,0.048,0.042
duck meat cooked,472,39.7,13.5,0.0,0.041
chicken wing roasted,216,14.3,4.2,0.0,0.039
quail meat cooked,1028,63.9,17.9,0.0,0.2
goose meat cooked,427,30.7,9.6,0.0,0.089
chicken breast cooked,114,4.5,1.3,0.0,0.058
chicken neck raw,149,13.1,3.6,0.0,0.027
duck egg,130,9.6,2.6,0.7,0.1
pheasant breast raw,484,11.8,4.0,0.0,0.1
duck meat raw,5123,498.8,167.6,0.0,0.8
squab meat raw,585,47.4,16.8,0.0,0.1
chicken drumstick raw,211,12.4,3.3,0.0,0.1
turkey meat roasted,284,11.1,3.2,0.0,0.2
chicken breast raw,299,16.1,4.6,0.0,0.1
ground chicken cooked,474,27.4,7.8,0.0,0.2
turkey wing cooked,426,23.1,6.3,0.0,0.1
goose meat raw,6077,550.7,160.2,0.0,1.2
